x,y,z,intensity,gps_time,label,global_id
746002.11528931,2573795.61492798,467.47323608,16191,5324.863,9,103010001
746002.09328613,2573795.59731934,467.2104187,16191,5324.863,9,103010001
746002.08291016,2573795.57952759,466.96221924,16191,5324.863,9,103010001
746002.12410889,2573795.55242798,466.7064209,16191,5324.8633,9,103010001
746009.26149902,2573794.36541626,466.59222412,16191,5324.8633,9,103010001
746009.24300537,2573794.34783813,466.32012939,16191,5324.8633,9,103010001
746009.25020752,2573794.32482788,466.03622437,16191,5324.8633,9,103010001
746002.08999023,2573795.38131592,464.3944397,16191,5324.864,9,103010001
746002.12059937,2573795.3573291,464.13763428,16191,5324.864,9,103010001
746002.09911499,2573795.34173462,463.87744141,16191,5324.864,9,103010001
746002.10039673,2573795.32263062,463.61883545,16191,5324.864,9,103010001
746002.09700928,2573795.30462524,463.36001587,16191,5324.864,9,103010001
746009.21538696,2573793.88052246,467.28182983,16191,5324.9644,9,103010001
746005.10671387,2573794.59182617,466.60583496,15677,5324.9644,9,103010001
746005.04989014,2573794.64123413,466.32962036,15677,5324.9644,9,103010001
746005.03890381,2573794.68502686,466.0446167,15677,5324.965,9,103010001
746005.0744873,2573794.71963379,465.77761841,15677,5324.965,9,103010001
746002.13201294,2573795.23382446,465.25973511,14649,5324.965,9,103010001
746002.11278687,2573795.3493335,464.50631714,14649,5324.965,9,103010001
746002.09160767,2573795.39132568,464.24594116,14649,5324.965,9,103010001
746002.12279663,2573795.42492554,463.98931885,14649,5324.965,9,103010001
746002.15899048,2573795.45782349,463.73312378,14649,5324.965,9,103010001
746002.14299927,2573795.49883911,463.47363281,14649,5324.965,9,103010001
746002.16948853,2573795.53323242,463.21673584,14649,5324.965,9,103010001
746009.31670532,2573794.45373413,463.33673096,16191,5324.965,9,103010001
746002.09990845,2573795.31161377,464.27572632,16191,5325.0615,9,103010001
746002.11739502,2573795.39132568,464.03063965,16191,5325.0615,9,103010001
746002.14840088,2573795.46472046,463.79882813,16191,5325.0615,9,103010001
746002.14458618,2573795.5474231,463.5524292,16191,5325.0615,9,103010001
746002.17119751,2573795.62524292,463.30801392,16191,5325.062,9,103010001
746009.47850952,2573793.56783936,463.11993408,16191,5325.857,9,103010001
746009.52651367,2573793.74963257,463.32531738,16191,5325.857,9,103010001
746005.02559814,2573794.84783813,463.47042847,14135,5325.857,9,103010001
746002.10759888,2573795.48602173,463.48544312,12079,5325.857,9,103010001
746002.12688599,2573795.6554248,463.67001343,24415,5325.8574,9,103010001
746002.1696106,2573795.82974121,463.86532593,24415,5325.8574,9,103010001
